,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Diversity_scaled,~,HighFreq_scaled,-0.7887818313136368,0.10246101561938313,-7.698360459709518,1.3766765505351941e-14
1,SQ,~,Diversity_scaled,0.5199529771397999,0.043681917793139534,11.903162759249504,0.0
2,SQ,~,HighFreq_scaled,-0.06469196936496062,0.0369013877179735,-1.753103971526201,0.07958416196081974
3,SQ,~,GQ,-0.4256608867986176,0.033146475322918256,-12.841814480692726,0.0
4,Perplexity_scaled,~,GQ,1.0,-,-,-
5,Entropy_scaled,~,GQ,-1.015963884386696,0.043757913810726426,-23.21783183627081,0.0
6,Rouge_1_scaled,~,SQ,1.0,-,-,-
7,Rouge_2_scaled,~,SQ,0.9791778353000278,0.08944869733244269,10.946809338652459,0.0
8,Rouge_L_scaled,~,SQ,0.9916403868898713,0.08231943596421953,12.04624855919622,0.0
9,METEOR_scaled,~,SQ,0.9975268773304145,0.07868104823475552,12.67810863858194,0.0
10,Diversity_scaled,~~,Diversity_scaled,0.37793734998319634,0.08908068767893068,4.242640687071652,2.209049700319099e-05
11,GQ,~~,GQ,0.955400913665462,0.23583798336552594,4.0510900747511585,5.097957629307537e-05
12,SQ,~~,SQ,0.0,0.005098690109115441,0.0,1.0
13,Entropy_scaled,~~,Entropy_scaled,0.01398028588339875,0.013643828051494188,1.0246600755748352,0.30552360739069306
14,METEOR_scaled,~~,METEOR_scaled,0.05803435257600299,0.014692716917689336,3.949872096302523,7.81929659434688e-05
15,Perplexity_scaled,~~,Perplexity_scaled,0.04469298761683215,0.016598350093258118,2.6926162758967735,0.0070893810325902695
16,Rouge_1_scaled,~~,Rouge_1_scaled,0.053429715897203724,0.013672463214345818,3.9078339473778807,9.312727294275014e-05
17,Rouge_2_scaled,~~,Rouge_2_scaled,0.09249862866704439,0.022534910354620758,4.104681456785692,4.048723725547099e-05
18,Rouge_L_scaled,~~,Rouge_L_scaled,0.06918462654359678,0.017199625658186186,4.022449552943951,5.7595992869696744e-05
