,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Diversity_scaled,~,HighFreq_scaled,-2.2902955641180975,0.5907328164985076,-3.8770413631151412,0.00010573438813099578
1,Diversity_scaled,~,HighFreq_sq,12.006965705903541,2.2745575922073606,5.278813667780562,1.300229397482866e-07
2,Diversity_scaled,~,GQ,-1.7181007899478389,0.052570415524777085,-32.68189480270315,0.0
3,SQ,~,Diversity_scaled,0.7208733428132448,0.022610899431944845,31.88167480692555,0.0
4,SQ,~,HighFreq_scaled,-0.2958704378245802,0.029479939174455405,-10.036331352776939,0.0
5,Perplexity_scaled,~,GQ,1.0,-,-,-
6,Entropy_scaled,~,GQ,-0.9924981245903588,0.04101331074817384,-24.19941493287887,0.0
7,Rouge_1_scaled,~,SQ,1.0,-,-,-
8,Rouge_2_scaled,~,SQ,0.9747533617140108,0.049291284619430525,19.77536940293071,0.0
9,Rouge_L_scaled,~,SQ,0.9887807438344455,0.0447831633164945,22.0792965611739,0.0
10,METEOR_scaled,~,SQ,0.9932508787158705,0.0432604612284888,22.95978476620619,0.0
11,Diversity_scaled,~~,Diversity_scaled,0.028095065786077806,0.01953840468889443,1.4379406216623722,0.15045090259620397
12,GQ,~~,GQ,0.977919779439204,0.2357619082871214,4.147912555255116,3.355204958910285e-05
13,SQ,~~,SQ,0.00752179018884967,0.006165770567190977,1.219927031935693,0.22249253732159247
14,Entropy_scaled,~~,Entropy_scaled,0.03674831824014196,0.010613774506193744,3.462323249399626,0.0005355335364656266
15,METEOR_scaled,~~,METEOR_scaled,0.06165753703296935,0.016197486136411327,3.8066115019267692,0.00014088379051924171
16,Perplexity_scaled,~~,Perplexity_scaled,0.022231417716146833,0.008138549834624113,2.7316190433380805,0.006302396805127897
17,Rouge_1_scaled,~~,Rouge_1_scaled,0.048846709497425,0.013371575251445673,3.6530258084955913,0.00025916817091076183
18,Rouge_2_scaled,~~,Rouge_2_scaled,0.09622635289659934,0.024092438183340777,3.994047931568131,6.495472369816291e-05
19,Rouge_L_scaled,~~,Rouge_L_scaled,0.06996654109799288,0.018072012916648367,3.87154111812672,0.00010814940896142211
